train_seed,method,avg_shortfall,shortfall_std,avg_reward,completion_rate
7,Almgren-Chriss,0.7693503587229754,8.996796609882447,-0.010734456488235287,1.0
7,TWAP,0.7732116236784208,9.06885531378626,-0.010819616236784204,1.0
7,DDPG,-1.1454929310921171,5.68503025996475,0.01030047639021333,1.0
7,PPO,-0.8982756798800942,7.863635185048964,0.0063123413354947405,1.0
17,Almgren-Chriss,0.7693503587229754,8.996796609882447,-0.010734456488235287,1.0
17,TWAP,0.7732116236784208,9.06885531378626,-0.010819616236784204,1.0
17,DDPG,-2.66333271679951,10.732727774886097,0.02252208682753193,1.0
17,PPO,-1.0481379685138186,8.733675105626618,0.0071925940132524764,1.0
27,Almgren-Chriss,0.7693503587229754,8.996796609882447,-0.010734456488235287,1.0
27,TWAP,0.7732116236784208,9.06885531378626,-0.010819616236784204,1.0
27,DDPG,-1.133190616756626,5.664824977659369,0.010184207906072825,1.0
27,PPO,-0.9229803382815319,8.048801813152645,0.006435841226730102,1.0
