risk_aversion,method,avg_shortfall,shortfall_std,avg_reward,completion_rate
0.0001,Almgren-Chriss,-1.327104446012537,9.023476109940578,0.012655429070745804,1.0
0.0001,TWAP,-1.3297723287420316,9.036706142073859,0.012680223287420312,1.0
0.0001,DDPG,-0.14239174465341145,10.701437911585241,0.0005922136079321084,1.0
0.0001,PPO,-1.5703805893612421,9.215951471304018,0.015018938340859215,1.0
0.0003,Almgren-Chriss,0.2288228376067328,8.07244501323289,-0.00412386972930858,1.0
0.0003,TWAP,0.22754060488987093,8.111467701434378,-0.004127906048898701,1.0
0.0003,DDPG,-0.14413329158951715,10.669909178634466,-0.001039701214468406,1.0
0.0003,PPO,-1.570530746142562,9.218007769993555,0.013650103431394929,1.0
0.0005,Almgren-Chriss,-0.7851166907613402,7.5223492465451045,0.004810214006607869,1.0
0.0005,TWAP,-0.8013714150084837,7.578289259723517,0.004926214150084838,1.0
0.0005,DDPG,0.11719032371425371,5.569483022872087,-0.0023263852081062677,1.0
0.0005,PPO,-1.3161443076355743,8.131408106310435,0.010491025665790113,1.0
0.0008,Almgren-Chriss,-0.8212856815595475,10.130431653047186,0.0033909478338303217,1.0
0.0008,TWAP,-0.8354599743959277,10.257121476078906,0.003414599743959282,1.0
0.0008,DDPG,0.1191712451047536,5.542774053367529,-0.003020906165889175,1.0
0.0008,PPO,-1.2079380568295046,7.7236975750161765,0.008249315225236063,1.0
